time,open,high,low,close,volume
2026-06-29T19:46:00Z,740.69,740.78,740.61,740.67,201226
2026-06-29T19:48:00Z,740.66,740.91,740.6,740.89,354845
2026-06-29T19:50:00Z,740.86,741,740.32,740.37,756694
2026-06-29T19:52:00Z,740.37,740.52,740.23,740.36,932729
2026-06-29T19:54:00Z,740.34,740.58,740.23,740.37,847200
2026-06-29T19:56:00Z,740.36,740.65,740.3,740.53,862215
2026-06-29T19:58:00Z,740.53,741.56,740.51,740.88,2286503
2026-06-30T13:30:00Z,741.26,741.97,740.96,741.61,434060
2026-06-30T13:32:00Z,741.6,741.62,740.89,741.15,383427
2026-06-30T13:34:00Z,741.16,742.09,740.94,742.05,336531
2026-06-30T13:36:00Z,742.04,742.05,741.48,741.84,299510
2026-06-30T13:38:00Z,741.84,741.85,741.4,741.47,211038
2026-06-30T13:40:00Z,741.46,742.09,741.23,742.07,295230
2026-06-30T13:42:00Z,742.07,742.31,741.6,742.11,336469
2026-06-30T13:44:00Z,742.07,742.31,741.61,742.18,194260
2026-06-30T13:46:00Z,742.15,742.28,741.67,741.82,198881
2026-06-30T13:48:00Z,741.82,742.22,741.76,742.01,184509
2026-06-30T13:50:00Z,741.99,743.04,741.88,742.94,367155
2026-06-30T13:52:00Z,742.93,743.47,742.89,743.22,349663
2026-06-30T13:54:00Z,743.22,743.7,743.07,743.67,265067
2026-06-30T13:56:00Z,743.66,743.73,743.45,743.5,169479
2026-06-30T13:58:00Z,743.5,743.96,743.35,743.92,202858
2026-06-30T14:00:00Z,743.91,743.92,742.86,743.59,373071
2026-06-30T14:02:00Z,743.59,744.43,743.49,744.38,190451
2026-06-30T14:04:00Z,744.35,744.53,744.05,744.12,142123
2026-06-30T14:06:00Z,744.1,744.15,743.55,743.7,127760
2026-06-30T14:08:00Z,743.71,743.84,743.37,743.54,126787
2026-06-30T14:10:00Z,743.57,743.88,743.17,743.72,218376
2026-06-30T14:12:00Z,743.71,743.74,743.23,743.55,117344
2026-06-30T14:14:00Z,743.52,743.79,743.46,743.66,93542
2026-06-30T14:16:00Z,743.68,743.83,743.31,743.66,130123
2026-06-30T14:18:00Z,743.65,743.85,743.41,743.56,71037
2026-06-30T14:20:00Z,743.57,743.95,743.46,743.84,79284
2026-06-30T14:22:00Z,743.82,744.46,743.81,744.44,136408
2026-06-30T14:24:00Z,744.43,744.43,744.02,744.21,126250
2026-06-30T14:26:00Z,744.21,744.57,744.15,744.54,62232
2026-06-30T14:28:00Z,744.54,744.58,744.36,744.48,74247
2026-06-30T14:30:00Z,744.47,745.13,744.44,745.05,236394
2026-06-30T14:32:00Z,745.05,745.2,744.91,745.05,108108
2026-06-30T14:34:00Z,745.04,745.38,744.97,745.05,129835
2026-06-30T14:36:00Z,745.05,745.12,744.74,744.88,140496
2026-06-30T14:38:00Z,744.89,744.96,744.34,744.56,97483
2026-06-30T14:40:00Z,744.56,744.93,744.36,744.37,111565
2026-06-30T14:42:00Z,744.37,744.47,744.16,744.46,130247
2026-06-30T14:44:00Z,744.48,744.83,744.48,744.63,120729
